正反同义标签,格式标签,否定式,肯定式
1,好不a,我唱了几声，毫无效果，好不丢脸，只是轻轻地敲敲那扇完好无损的橱窗玻璃，引那位装饰师注意我。,我唱了几声，毫无效果，好丢脸，只是轻轻地敲敲那扇完好无损的橱窗玻璃，引那位装饰师注意我。
1,差点没,”长太爷差点没给她推倒。,”长太爷差点给她推倒。
1,差点没,我从她俩掌间接下一搪瓷盆米饭，手一软，差点没掉了，忙用另一只手托住。,我从她俩掌间接下一搪瓷盆米饭，手一软，差点掉了，忙用另一只手托住。
0,不要太a,"吴教授认为取名确实有学问,既要避免重名,又要有意义,还要注意不要太冷癖。","吴教授认为取名确实有学问,既要避免重名,又要有意义,还要注意太冷癖。"
1,好不a,“送子观音显灵”之日，那些善男信女来了，大队干部带着其他社员群众也来了，旧庙中好不热闹。只见年过六旬的社员叶德抢先站在“送子观音”旁边，一本正经地说：“我是送子罗汉，要拜观音先得拜我。,“送子观音显灵”之日，那些善男信女来了，大队干部带着其他社员群众也来了，旧庙中好热闹。只见年过六旬的社员叶德抢先站在“送子观音”旁边，一本正经地说：“我是送子罗汉，要拜观音先得拜我。
1,看我不,看我不教训你！,看我教训你！
0,不要太a,拔管前清除呼吸道分泌物，对老年人吸弓次时间不要太长。呼吸功能正常，咳嗽排废有力，吞咽反射活跃，抬头举腿ＳＳ，可考虑拔管，一旦拔管后窒息，立Ｂｌｌ托起下颌、人工呼吸，必要再次插管，保持呼吸道通畅，口腔面部手术病人应延迟至病人完全清醒一段时间，拔管后加强监测，必要时带管回病房。,拔管前清除呼吸道分泌物，对老年人吸弓次时间太长。呼吸功能正常，咳嗽排废有力，吞咽反射活跃，抬头举腿ＳＳ，可考虑拔管，一旦拔管后窒息，立Ｂｌｌ托起下颌、人工呼吸，必要再次插管，保持呼吸道通畅，口腔面部手术病人应延迟至病人完全清醒一段时间，拔管后加强监测，必要时带管回病房。
1,差点没,”我跟胖子一听这话差点没吐血，真是敢上我们哥儿俩烧香，连佛爷都掉腚。,”我跟胖子一听这话差点吐血，真是敢上我们哥儿俩烧香，连佛爷都掉腚。
0,差点没,”恰茨基冷冷地说：“就让他的头颈骨折断吧，您自己差一点没有命啦。,”恰茨基冷冷地说：“就让他的头颈骨折断吧，您自己差一点命啦。
0,不要太a,１９８３年１月１２日，邓小平会见墨西哥客人，在谈到发展中国家的债务，他说：建设量力而行，这是我们的方针，宁肯速度不要太快，也不要欠太多的债，借债必须放在有能力偿还的基础上。,１９８３年１月１２日，邓小平会见墨西哥客人，在谈到发展中国家的债务，他说：建设量力而行，这是我们的方针，宁肯速度太快，也不要欠太多的债，借债必须放在有能力偿还的基础上。
1,好不a,当我们急急忙忙赶到附近的一家超级商场欲买油炸春卷时，不巧货早就卖完了，令人好不遗憾。抱着一线希望找到营业员问她是否还会再加工，她答说一天就只加工一次。,当我们急急忙忙赶到附近的一家超级商场欲买油炸春卷时，不巧货早就卖完了，令人好遗憾。抱着一线希望找到营业员问她是否还会再加工，她答说一天就只加工一次。
1,好不a,她们几个仍在脸上下着功夫，用美国睫毛膏美国口红把一个个收拾得人面桃花，好不漂亮。我朗声招呼大伙儿道：“各位，各位，入席啦！,她们几个仍在脸上下着功夫，用美国睫毛膏美国口红把一个个收拾得人面桃花，好漂亮。我朗声招呼大伙儿道：“各位，各位，入席啦！
1,差点没,史兆昌惊得差点没摔倒。,史兆昌惊得差点摔倒。
1,差点没,范小四他们，替安永红除绊制造了一起车祸，让新来的张市长死于非命；而安永红他们制造了一起爆炸事件，差点没让那个纪检副书记粉身碎骨？,范小四他们，替安永红除绊制造了一起车祸，让新来的张市长死于非命；而安永红他们制造了一起爆炸事件，差点让那个纪检副书记粉身碎骨？
0,好不a,”沈父拉长耳朵在听，沈母则戴着老花眼镜猛打量马纯欣，让她好不自在，甚至让她感觉她好像是一样准备沽价出售的货品。,”沈父拉长耳朵在听，沈母则戴着老花眼镜猛打量马纯欣，让她好自在，甚至让她感觉她好像是一样准备沽价出售的货品。
1,好不a,陈小凤心里好不难过，在礼貌上，她还不得不违心地道：“不用惊动他了，我们谈谈也是一样。,陈小凤心里好难过，在礼貌上，她还不得不违心地道：“不用惊动他了，我们谈谈也是一样。
1,不要太a,现在的人别看外表上玩的疯，心里不要太空虚噢！,现在的人别看外表上玩的疯，心里太空虚噢！
0,a不死r,老不死这时站在戈白身旁，凑着脸上下左右盯着他看。,老死这时站在戈白身旁，凑着脸上下左右盯着他看。
1,好不a,”1960年初，又新垦了八十多万亩荒芜茶园、榛林，“茶苗绿油油，螺旋上山头，机器开上山，拖拉机顶老牛”，使人好不兴奋！一首歌，典型地对比了解放前后的山区面貌：山高路远石头多，一阵暴雨水成河，十有九家光棍汉，姑娘不爱上山坡；如今山区大改变，茶林满山粮食多，姑娘爱的勤劳汉，平原女儿嫁上坡。,”1960年初，又新垦了八十多万亩荒芜茶园、榛林，“茶苗绿油油，螺旋上山头，机器开上山，拖拉机顶老牛”，使人好兴奋！一首歌，典型地对比了解放前后的山区面貌：山高路远石头多，一阵暴雨水成河，十有九家光棍汉，姑娘不爱上山坡；如今山区大改变，茶林满山粮食多，姑娘爱的勤劳汉，平原女儿嫁上坡。
1,好不a,”一群仆人提着水桶追在她后面，不时要注意不让水溢出来，又要忙着赶上馥儿，好不狼狈。带头的吴阳不停地大吼：“小姐，快停下来，火，火啊！,”一群仆人提着水桶追在她后面，不时要注意不让水溢出来，又要忙着赶上馥儿，好狼狈。带头的吴阳不停地大吼：“小姐，快停下来，火，火啊！
0,不要太a,不要太实际，带一点中世纪传奇气氛，做人可以美丽些。,太实际，带一点中世纪传奇气氛，做人可以美丽些。
1,好不a,”※※※两个模样可爱的华服小公子，正大摇大摆的在街上走着，两人东奔西跑，好不快活。没错，他们其中一个人是吓死人不偿命的绿涵，一个是刁钻精灵的无心。,”※※※两个模样可爱的华服小公子，正大摇大摆的在街上走着，两人东奔西跑，好快活。没错，他们其中一个人是吓死人不偿命的绿涵，一个是刁钻精灵的无心。
1,差点没,他把双手插在衣袋里，“也许我就是爱你这一点老派——差点儿没在襟前插枝钢笔，或是在下腋别一条手绢。,他把双手插在衣袋里，“也许我就是爱你这一点老派——差点儿在襟前插枝钢笔，或是在下腋别一条手绢。
1,好不a,只见这可爱的小女孩儿，头戴一顶“公主”小红帽，身着一套质地、做工都颇讲究的真皮套衫，脚蹬一双小马靴，脖子上还挂着一条镶着宝石、闪闪发光的金项链，走起路来一晃一晃的，好不神气。镜头二：先施大厦儿童服装柜前，一个七八岁男孩的小手指向一套标价180元的台湾“牛仔”童装，身后跟着的妈妈毫不犹豫地掏钱买下。,只见这可爱的小女孩儿，头戴一顶“公主”小红帽，身着一套质地、做工都颇讲究的真皮套衫，脚蹬一双小马靴，脖子上还挂着一条镶着宝石、闪闪发光的金项链，走起路来一晃一晃的，好神气。镜头二：先施大厦儿童服装柜前，一个七八岁男孩的小手指向一套标价180元的台湾“牛仔”童装，身后跟着的妈妈毫不犹豫地掏钱买下。
1,差点没,姓林的新屋主好奇诡异地打量着凌锦岚，忍不住脱口损损这个傲慢绅士的锐气：“我本来有些怀疑，这间房子怎么卖得这么便宜，不晓得有什么不干净或不妥当原本怒火中烧的凌锦岚气得脸色紫涨，差点没脑溢血。,姓林的新屋主好奇诡异地打量着凌锦岚，忍不住脱口损损这个傲慢绅士的锐气：“我本来有些怀疑，这间房子怎么卖得这么便宜，不晓得有什么不干净或不妥当原本怒火中烧的凌锦岚气得脸色紫涨，差点脑溢血。
1,差点没,两个人来到夜总会，胡延平把门一打开，一股潮湿气和物品腐烂混合在一起的怪味就扑面而来，熏得郭健差点没干呕起来，连大气都不敢喘。,两个人来到夜总会，胡延平把门一打开，一股潮湿气和物品腐烂混合在一起的怪味就扑面而来，熏得郭健差点干呕起来，连大气都不敢喘。
1,差点没,余式燕玉一见那蛟带着洪水迎面冲来，惊慌百忙中先不知两镖打中没有，匆匆往侧纵避，如非身法轻灵，一见水到，忙即纵起，将左近树枝攀住援将上去，差一点没被洪水冲倒。,余式燕玉一见那蛟带着洪水迎面冲来，惊慌百忙中先不知两镖打中没有，匆匆往侧纵避，如非身法轻灵，一见水到，忙即纵起，将左近树枝攀住援将上去，差一点被洪水冲倒。
0,不要太a,”“所以他这样逃走，兄弟，你也不要太高兴。”司马东城正色道：“这只是表示，他的武功比你们想像的还要高强。,”“所以他这样逃走，兄弟，你也太高兴。”司马东城正色道：“这只是表示，他的武功比你们想像的还要高强。
1,好不a,但打来打去，真假混杂，消费者也更没了购物欲望，倒是不少商家被“折”得亏损负债好不尴尬。在各种招法屡试屡败之后，一些有远见的经营者开始在服务上下起功夫，服务品牌的亮相即是一例。,但打来打去，真假混杂，消费者也更没了购物欲望，倒是不少商家被“折”得亏损负债好尴尬。在各种招法屡试屡败之后，一些有远见的经营者开始在服务上下起功夫，服务品牌的亮相即是一例。
1,差点没,回到水晶宫这座金碧辉煌、美轮美奂的宫殿，段香凝差点没流下眼泪来。,回到水晶宫这座金碧辉煌、美轮美奂的宫殿，段香凝差点流下眼泪来。
1,差点没,这三个月来他要应付原来那群手下，又要搞定战家的四海航运，差点没让他累死在海龙岛上。,这三个月来他要应付原来那群手下，又要搞定战家的四海航运，差点让他累死在海龙岛上。
1,险些没,主人在一旁 吹吹打打，一口一个“画屋师爹”，叫得战战兢兢，险些没把他当成招财纳福的神仙，摆上供桌上烧一炷香了。,主人在一旁 吹吹打打，一口一个“画屋师爹”，叫得战战兢兢，险些把他当成招财纳福的神仙，摆上供桌上烧一炷香了。
1,好不a,”耶莉亚好不失望。“是他们不让我们回去的，你看——”韩雨拿了最后一张画稿给她。,”耶莉亚好失望。“是他们不让我们回去的，你看——”韩雨拿了最后一张画稿给她。
0,几乎没,几乎没想，他就走过去，搬起那张竹梯靠住已熄了灯的窗台边。,几乎想，他就走过去，搬起那张竹梯靠住已熄了灯的窗台边。
1,好不a,”她走下楼来，一肚子妒火，又不好发作，憋得好不难受。她走过二楼楼梯转角的时候，客厅的门忽然开了。,”她走下楼来，一肚子妒火，又不好发作，憋得好难受。她走过二楼楼梯转角的时候，客厅的门忽然开了。
0,不要太a,此外，还要注意让宝宝所处的室温不要太高，在早晚天气凉爽再出去玩儿。,此外，还要注意让宝宝所处的室温太高，在早晚天气凉爽再出去玩儿。
1,好不a,他们爬上坦克，转动炮筒，玩得好不痛快。站在一旁的爷爷奶奶，有的胸前挂满勋章奖章，他们回首往年，战事峥嵘，看看眼前，露出满意的微笑。,他们爬上坦克，转动炮筒，玩得好痛快。站在一旁的爷爷奶奶，有的胸前挂满勋章奖章，他们回首往年，战事峥嵘，看看眼前，露出满意的微笑。
1,差点没,这位看起来柔弱的小女人还真不是普通的泼辣、暴力，她的拳头打得他快痛死了，骨头差点没散掉。,这位看起来柔弱的小女人还真不是普通的泼辣、暴力，她的拳头打得他快痛死了，骨头差点散掉。
1,差点没,他的下巴差点没跟着她的话一起掉下来。,他的下巴差点跟着她的话一起掉下来。
1,差点没,回到办公室，她走到梳妆间，对牢镜子，呆视，差点没惊呼出来。,回到办公室，她走到梳妆间，对牢镜子，呆视，差点惊呼出来。
0,不要太a,不要太多的机会，只要一点点就足够了。,太多的机会，只要一点点就足够了。
0,不要太a,有次“队前训话”多说了几句，韦钰马上举手：“报告队长，训话不要太长。”众哄然。,有次“队前训话”多说了几句，韦钰马上举手：“报告队长，训话太长。”众哄然。
1,差点没,莫云樊见状，差点没笑岔了气。,莫云樊见状，差点笑岔了气。
1,差点没,唉，威廉，我差点儿没把椅垫子冲着她扔过去。,唉，威廉，我差点儿把椅垫子冲着她扔过去。
0,不要太a,人们还记得，那年瓦尔德海姆竞选奥国总统也曾在欧洲国家引起涟漪，无非也是一种“不要太潇洒”的提示。,人们还记得，那年瓦尔德海姆竞选奥国总统也曾在欧洲国家引起涟漪，无非也是一种“太潇洒”的提示。
1,好不a,”他好不暧昧的扯唇。,”他好暧昧的扯唇。
1,好不a,这四条狼好不凶狠，玲儿走了单，去的人又有两个为狼所伤，等到看见有狼追他，相隔已远，如非老弟，怎能活命？,这四条狼好凶狠，玲儿走了单，去的人又有两个为狼所伤，等到看见有狼追他，相隔已远，如非老弟，怎能活命？
1,差点没,”梦琪失望的转身，步履温吞的踱到门边，正要转开门把，不期然被推门而进的人撞退了一大步，她抚住胸口，差点没被吓死。,”梦琪失望的转身，步履温吞的踱到门边，正要转开门把，不期然被推门而进的人撞退了一大步，她抚住胸口，差点被吓死。
1,小心别,这时薛乾尚等人已经折往南逃，薛乾尚领着众人，一出城就往东直窜，要让官兵以为众人想逃出海外，过了整整一天，又遇到了几小队官兵之后才忽而折向往南，猛然转向自然无路可走，一路只有披荆斩棘，还要小心别留下线索，速度当然变的缓慢下来，所以现在才刚抵达东极河。,这时薛乾尚等人已经折往南逃，薛乾尚领着众人，一出城就往东直窜，要让官兵以为众人想逃出海外，过了整整一天，又遇到了几小队官兵之后才忽而折向往南，猛然转向自然无路可走，一路只有披荆斩棘，还要小心留下线索，速度当然变的缓慢下来，所以现在才刚抵达东极河。
1,差点没,末雨看见火烤鲜尤鱼乐得直拍手，初云抓起一只赤甲红蟹子差点没夹住手指头，卫东则提篓一只晶亮透明一扎多长的大虾说道：“要吃吃这个！,末雨看见火烤鲜尤鱼乐得直拍手，初云抓起一只赤甲红蟹子差点夹住手指头，卫东则提篓一只晶亮透明一扎多长的大虾说道：“要吃吃这个！
1,难免不,在清党运动中难免不误伤好人。,在清党运动中难免误伤好人。
1,好不a,十楼主要是管理部门，偌大的办公室里人人埋首工作，好不努力的样子，他低声在苏珊娜耳边夸奖道：“你的公司果然了不起，每个人都很认真工作，没有一个人偷懒，我从没见过工作效率这么集中的公司。,十楼主要是管理部门，偌大的办公室里人人埋首工作，好努力的样子，他低声在苏珊娜耳边夸奖道：“你的公司果然了不起，每个人都很认真工作，没有一个人偷懒，我从没见过工作效率这么集中的公司。
0,不要太a,第一你的表情不要太严肃；做一些鬼脸，打断你脸上的观念，持续做20个试试看。,第一你的表情太严肃；做一些鬼脸，打断你脸上的观念，持续做20个试试看。
1,差点没,＂董月菱差点没起立的鼓掌。,＂董月菱差点起立的鼓掌。
1,好不a,这家伙好大的酒量，这一葫芦少说也有五斤左右，自己师徒们三人尚未饮尽，这东西居然饮两大葫芦，好不惊人！这猴儿酒初饮似毫无酒劲，可是后劲极大，继志仅饮了数杯，这会儿已略感有点头昏，这怪物不知根源，只图眼前快活，满饮两葫芦之后已步履蹒跚，一时酒性大发，一振手已闹了约半盏茶的时间，才倚树醉倒。,这家伙好大的酒量，这一葫芦少说也有五斤左右，自己师徒们三人尚未饮尽，这东西居然饮两大葫芦，好惊人！这猴儿酒初饮似毫无酒劲，可是后劲极大，继志仅饮了数杯，这会儿已略感有点头昏，这怪物不知根源，只图眼前快活，满饮两葫芦之后已步履蹒跚，一时酒性大发，一振手已闹了约半盏茶的时间，才倚树醉倒。
1,难免不,但前一种“硬留”的办法往往效果不好，即使你用种种禁条把人才留了下来，也难免不使他“人在曹营心在汉”，不能发挥应有的作用。,但前一种“硬留”的办法往往效果不好，即使你用种种禁条把人才留了下来，也难免使他“人在曹营心在汉”，不能发挥应有的作用。
1,差点没,李铁见他碍路，一伸胳膊往旁一拨，那伪军一仄歪差点没倒了。,李铁见他碍路，一伸胳膊往旁一拨，那伪军一仄歪差点倒了。
0,不要太a,电视性病的预防与治疗，首先要避免诱发因素，看电视，房间不要太暗，距离不要太近（大于２．５米），时间不易过长。,电视性病的预防与治疗，首先要避免诱发因素，看电视，房间不要太暗，距离太近（大于２．５米），时间不易过长。
0,几乎没,还几乎没让你们恢复体力呢！,还几乎让你们恢复体力呢！
0,不要太a,石家庄商务中心规划面积不要太大石家庄的规划者们很自信，认为这几年在逐渐积累，逐渐聚集大的办公楼、写字楼，已初具规模，城市中心的形象开始显现。,石家庄商务中心规划面积太大石家庄的规划者们很自信，认为这几年在逐渐积累，逐渐聚集大的办公楼、写字楼，已初具规模，城市中心的形象开始显现。
1,差点没,倒是你，能活在这个世界是很幸福的，不像我做了天使，整天在无聊的天堂里逛啊逛的，差点没把我闷死。,倒是你，能活在这个世界是很幸福的，不像我做了天使，整天在无聊的天堂里逛啊逛的，差点把我闷死。
1,看我不,你要敢在外面寻花问柳，看我不拿剪子捅了你！,你要敢在外面寻花问柳，看我拿剪子捅了你！
0,不要太a,你还是不要太难过，一心替他的灵魂祈祷，做些功德来得好，他生前也许免不了犯下一些罪过，正需要有人替他祈祷赎罪呢。,你还是太难过，一心替他的灵魂祈祷，做些功德来得好，他生前也许免不了犯下一些罪过，正需要有人替他祈祷赎罪呢。
1,好不a,”她嘻笑得好不诡异。“以这方向，定然逃进云真寺，近来寺里都是郡南王府的卫兵镇守，可有好戏看了！,”她嘻笑得好诡异。“以这方向，定然逃进云真寺，近来寺里都是郡南王府的卫兵镇守，可有好戏看了！
1,差点没,”孟都气得只差一点儿没有吐血，厉声道：“叫你滚，你还在胡说什么？,”孟都气得只差一点儿吐血，厉声道：“叫你滚，你还在胡说什么？
1,差点没,常有理朝着灵芝的脊背噘了噘嘴，差一点没有骂出来。,常有理朝着灵芝的脊背噘了噘嘴，差一点骂出来。
1,好不a,闷哼迭起，血雨乱飞，好不威猛。海天龙胸前多出一个洞；何大海暗器未发成了独眼龙；温蚊断了一条臂；马月的小腹被刺透，狼狈之极。,闷哼迭起，血雨乱飞，好威猛。海天龙胸前多出一个洞；何大海暗器未发成了独眼龙；温蚊断了一条臂；马月的小腹被刺透，狼狈之极。
1,差点没,杨大年急得差点没发疯，就这几天功夫的折腾，他居然瘦下去一个圈子，衣服能够多打个摺子了。,杨大年急得差点发疯，就这几天功夫的折腾，他居然瘦下去一个圈子，衣服能够多打个摺子了。
0,不要太a,　要站在一处，却不要太密迩,　要站在一处，却太密迩
0,不要太a,但时间要掌握好，不要太长。二、文字宣传比口头宣传更优越一些，不受时间和空间限制。,但时间要掌握好，太长。二、文字宣传比口头宣传更优越一些，不受时间和空间限制。
1,差点没,”范舒荷一听，高兴得差点没跳起来抱著他亲。,”范舒荷一听，高兴得差点跳起来抱著他亲。
0,不要太a,文荃心没好气地回到：“做人不要太过分，我是在帮你的忙。,文荃心没好气地回到：“做人太过分，我是在帮你的忙。
0,几乎没,」志人君头也不回地说:「从传动轴到包厢都被他分解了，几乎没使用任何工具就拆毁了。,」志人君头也不回地说:「从传动轴到包厢都被他分解了，几乎使用任何工具就拆毁了。
0,好不a,表面已出发的皇阴公，其实一直不曾离开过“皇京城”，他看不见小白被杀死，心底就是好不安宁。果然，三皇爷二百“皇卫军”，也杀不了原已重创的小白！,表面已出发的皇阴公，其实一直不曾离开过“皇京城”，他看不见小白被杀死，心底就是好安宁。果然，三皇爷二百“皇卫军”，也杀不了原已重创的小白！
1,差点没,当含有独特刺激性的双氧水触碰到她伤口时，她差点没痛的跳起来。,当含有独特刺激性的双氧水触碰到她伤口时，她差点痛的跳起来。
0,几乎没,运气真差，她几乎没弄出声音，竟然还是吵醒了恶魔……这下子，完蛋了。,运气真差，她几乎弄出声音，竟然还是吵醒了恶魔……这下子，完蛋了。
0,难免不,这样就避免了一人挡道，万夫莫进的弊病，必然加快了编写、出版的速度。当然，快就容易出纰漏，是局外人就难免不知情，何况又涉及到这么多门类、这么多人物，因之鲁鱼亥豕，错误不当之处是不能为编者曲讳的。,这样就避免了一人挡道，万夫莫进的弊病，必然加快了编写、出版的速度。当然，快就容易出纰漏，是局外人就难免知情，何况又涉及到这么多门类、这么多人物，因之鲁鱼亥豕，错误不当之处是不能为编者曲讳的。
1,差点没,”海澄低下头鼓了鼓腮，想起那皮包骨的竹竿儿，他差点没有吐出来。,”海澄低下头鼓了鼓腮，想起那皮包骨的竹竿儿，他差点吐出来。
1,小心别,在我好不容易找到你的爱之后，却又要如此无情地分隔你我……“把车里的安全带剪断，小心别伤到她了。,在我好不容易找到你的爱之后，却又要如此无情地分隔你我……“把车里的安全带剪断，小心伤到她了。
0,几乎没,谁知两臂相交，几乎没能抬起，醉汉只是很自然的向左抢出两步身子幌了两幌，但是他通胸前，由于稍微疏忽大意，被对方在衣衫上撕了约有寸许长的一道裂缝！,谁知两臂相交，几乎能抬起，醉汉只是很自然的向左抢出两步身子幌了两幌，但是他通胸前，由于稍微疏忽大意，被对方在衣衫上撕了约有寸许长的一道裂缝！
1,好不a,”骄阳的醋热，驱不走斗场上笼罩着的森森煞气，龙栖坪上，气氛在无比的紧张中，带着无比的肃杀，而人们的心也在狂跳着，热血在澎湃着，环境，融合着人们心里的感触，好不壮观，好不惨烈。,”骄阳的醋热，驱不走斗场上笼罩着的森森煞气，龙栖坪上，气氛在无比的紧张中，带着无比的肃杀，而人们的心也在狂跳着，热血在澎湃着，环境，融合着人们心里的感触，好壮观，好不惨烈。
0,几乎没,这么多年，他双休日几乎没休过，长年超负荷地工作。,这么多年，他双休日几乎休过，长年超负荷地工作。
1,好不a,牵挂了多年的事终于在此刻有了结果，他总算能放下心中的负担了，一张面容又哭又笑地好不滑稽他大哥的血脉保全了，他今世也没有遗憾了。,牵挂了多年的事终于在此刻有了结果，他总算能放下心中的负担了，一张面容又哭又笑地好滑稽他大哥的血脉保全了，他今世也没有遗憾了。
0,几乎没,彭伟民不像其他中关村的“大亨”们那么难找，几乎没费什么劲儿，便在西三环北路花园街６８号那幢乳白色小楼里“逮”住了...,彭伟民不像其他中关村的“大亨”们那么难找，几乎费什么劲儿，便在西三环北路花园街６８号那幢乳白色小楼里“逮”住了...
0,不要太a,步少堤张大嘴想告诉他们事情的始末，但想了想后，还是觉得不要太多嘴的好，免得泄露大多后会被修理，不过他们这样躲、那样逃的样子，看了实在是很令人同情。,步少堤张大嘴想告诉他们事情的始末，但想了想后，还是觉得太多嘴的好，免得泄露大多后会被修理，不过他们这样躲、那样逃的样子，看了实在是很令人同情。
1,好不a,无意中闯入了无忧团购的论坛，发现这小小的“二手市场”也是人来人往，好不热闹。虽然“无忧”二手市场的保障体系不安全，但上面的网友大部分是很诚信的买家。,无意中闯入了无忧团购的论坛，发现这小小的“二手市场”也是人来人往，好热闹。虽然“无忧”二手市场的保障体系不安全，但上面的网友大部分是很诚信的买家。
1,差点没,”姜飞方答：“可笑方才崖上所遇五人从后跟踪，差一点没有发生误会。,”姜飞方答：“可笑方才崖上所遇五人从后跟踪，差一点发生误会。
1,差点没,隔天我就顶着两个大黑轮去学校上课，梅芬差点没吐血，直问我昨晚做了什么不可见人的勾当。,隔天我就顶着两个大黑轮去学校上课，梅芬差点吐血，直问我昨晚做了什么不可见人的勾当。
1,好不a,”国香微笑，“你们一家人好不活泼。”大哥的声音：“你肯定是他？,”国香微笑，“你们一家人好活泼。”大哥的声音：“你肯定是他？
1,好不a,虽然仍是大白天，太阳暖暖地照着大地，凌云飞却觉得四周阴森森的，好不可怕，心中想道：“那蛇王也不知吃了多少人了，这方的人都怕成这个样，没有一个人敢进这一带。,虽然仍是大白天，太阳暖暖地照着大地，凌云飞却觉得四周阴森森的，好可怕，心中想道：“那蛇王也不知吃了多少人了，这方的人都怕成这个样，没有一个人敢进这一带。
0,不要太a,　“你不要太难过，他是因为病，心里不痛快……”,　“你太难过，他是因为病，心里不痛快……”
0,不要太a,男女职员若不穿公司制服，那么只要简单清洁即可，式样不要太老旧。,男女职员若不穿公司制服，那么只要简单清洁即可，式样太老旧。
1,好不a,这日————＂水阁＂内充满银铃般的清脆笑语，好不热闹。“大姊，我们来了这么久，你还没告诉我们究竟有什么大事！,这日————＂水阁＂内充满银铃般的清脆笑语，好热闹。“大姊，我们来了这么久，你还没告诉我们究竟有什么大事！
1,好不a,”她瞠目结舌，好不惊讶。就连她自己也仅在一张模糊照片中看过母亲的长相。,”她瞠目结舌，好惊讶。就连她自己也仅在一张模糊照片中看过母亲的长相。
0,几乎没,他们以征服者身份进行统治，对中国的制度或者中国人的生活方式几乎没作什么让步。,他们以征服者身份进行统治，对中国的制度或者中国人的生活方式几乎作什么让步。
